author,title,date,file
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-000.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-001.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-002.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-003.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-004.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-005.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-006.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-007.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-008.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-009.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-010.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-011.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-012.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-013.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-014.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-015.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-016.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-017.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-018.txt
"Ford, Gerald R., Jr.","Public Papers of the Presidents of the United States: Gerald R. Ford, Jr. (1976, Book III)",1976-07,1976-07-10_1977-01-20_ford-g-019.txt
